
time (s)          v("Vinn" ?resultsDir "/homes/natelgrw/Documents/titan_foundation_model/results/designs_single_ended_cascode_current_mirror1543/single_ended_cascode_current_mirror1543_0.2_7.0_0.2_19.0_0.27_8.0_0.29_7.0_0.1_5.0_0.21_13.0_0.22_7.0_0.29_17.0_0.52_0.23_0.06/single_ended_cascode_current_mirror1543_0.2_7.0_0.2_19.0_0.27_8.0_0.29_7.0_0.1_5.0_0.21_13.0_0.22_7.0_0.29_17.0_0.52_0.23_0.06.raw/transwp-000_mytran.tran.tran" ?result "tran") (V)

    0               255.0000016m    
  100p              255.0000016m    
  300p              255.0000016m    
  700p              255.0000016m    
    1n              255.0000016m    
    1.01n           245.0011113m    
    1.0201491n      245.0009820m    
    1.0318903n      245.0009703m    
    1.0434493n      245.0009595m    
    1.0665672n      245.0009374m    
    1.1128031n      245.0008955m    
    1.2052749n      245.0008164m    
    1.3902183n      245.0006791m    
    1.7601053n      245.0004678m    
    2.4998792n      245.0002167m    
    3.8080119n      245.0000467m    
    5.4970795n      245.0000057m    
    7.4970795n      245.0000016m    
    9.4970795n      245.0000019m    
   11.4970795n      245.0000016m    
   13.4970795n      245.0000019m    
   15.4970795n      245.0000016m    
   17.4970795n      245.0000018m    
   19.4970795n      245.0000015m    
   21.01n           245.0000018m    
   21.02n           254.9988920m    
   21.0301491n      254.9990212m    
   21.0418904n      254.9990330m    
   21.0534493n      254.9990438m    
   21.0765673n      254.9990659m    
   21.1228032n      254.9991078m    
   21.2152750n      254.9991869m    
   21.4002186n      254.9993242m    
   21.7701058n      254.9995354m    
   22.5098802n      254.9997865m    
   23.8180440n      254.9999565m    
   25.5071475n      254.9999975m    
   27.5071475n      255.0000016m    
   29.5071475n      255.0000013m    
   31.5071475n      255.0000016m    
   33.5071475n      255.0000013m    
   35.5071475n      255.0000016m    
   37.5071475n      255.0000013m    
   39.5071475n      255.0000016m    
   41n              255.0000014m    
   41.01n           245.0011112m    
   41.0201491n      245.0009820m    
   41.0318904n      245.0009702m    
   41.0434493n      245.0009594m    
   41.0665673n      245.0009373m    
   41.1128032n      245.0008954m    
   41.2052750n      245.0008163m    
   41.3902186n      245.0006790m    
   41.7601058n      245.0004678m    
   42.4998802n      245.0002167m    
   43.8080157n      245.0000467m    
   45.4970884n      245.0000056m    
   47.4970884n      245.0000016m    
   49.4970884n      245.0000019m    
   51.4970884n      245.0000016m    
   53.4970884n      245.0000019m    
   55.4970884n      245.0000015m    
   57.4970884n      245.0000018m    
   59.4970884n      245.0000015m    
   61.01n           245.0000018m    
   61.02n           254.9988920m    
   61.0301491n      254.9990212m    
   61.0418904n      254.9990330m    
   61.0534493n      254.9990438m    
   61.0765673n      254.9990659m    
   61.1228032n      254.9991078m    
   61.2152750n      254.9991869m    
   61.4002186n      254.9993242m    
   61.7701058n      254.9995354m    
   62.5098802n      254.9997865m    
   63.8180441n      254.9999565m    
   65.5071474n      254.9999975m    
   67.5071474n      255.0000016m    
   69.5071474n      255.0000013m    
   71.5071474n      255.0000016m    
   73.5071474n      255.0000013m    
   75.5071474n      255.0000016m    
   77.5071474n      255.0000013m    
   79.5071474n      255.0000016m    
   81n              255.0000014m    
   81.01n           245.0011112m    
   81.0201491n      245.0009820m    
   81.0318904n      245.0009702m    
   81.0434493n      245.0009594m    
   81.0665673n      245.0009373m    
   81.1128032n      245.0008954m    
   81.2052750n      245.0008163m    
   81.3902186n      245.0006790m    
   81.7601058n      245.0004678m    
   82.4998802n      245.0002167m    
   83.8080158n      245.0000467m    
   85.4970885n      245.0000056m    
   87.4970885n      245.0000016m    
   89.4970885n      245.0000019m    
   91.4970885n      245.0000016m    
   93.4970885n      245.0000019m    
   95.4970885n      245.0000015m    
   97.4970885n      245.0000018m    
   98.7485442n      245.0000015m    
  100n              245.0000018m    
