
time (s)          v("Voutp" ?resultsDir "/homes/natelgrw/Documents/titan_foundation_model/results/designs_single_ended_cascode_current_mirror1543/single_ended_cascode_current_mirror1543_0.2_7.0_0.2_19.0_0.27_8.0_0.29_7.0_0.1_5.0_0.21_13.0_0.22_7.0_0.29_17.0_0.52_0.23_0.06/single_ended_cascode_current_mirror1543_0.2_7.0_0.2_19.0_0.27_8.0_0.29_7.0_0.1_5.0_0.21_13.0_0.22_7.0_0.29_17.0_0.52_0.23_0.06.raw/transwp-000_mytran.tran.tran" ?result "tran") (V)

    0               255.0162812m    
  100p              255.0162812m    
  300p              255.0162812m    
  700p              255.0162812m    
    1n              255.0162812m    
    1.01n           254.9175281m    
    1.0201491n      254.8183057m    
    1.0318903n      254.7041860m    
    1.0434493n      254.5931360m    
    1.0665672n      254.3748324m    
    1.1128031n      253.9529841m    
    1.2052749n      253.1650699m    
    1.3902183n      251.7888227m    
    1.7601053n      249.6792685m    
    2.4998792n      247.1656794m    
    3.8080119n      245.4683134m    
    5.4970795n      245.0553750m    
    7.4970795n      245.0175251m    
    9.4970795n      245.0178571m    
   11.4970795n      245.0178377m    
   13.4970795n      245.0176336m    
   15.4970795n      245.0173811m    
   17.4970795n      245.0171442m    
   19.4970795n      245.0169449m    
   21.01n           245.0168216m    
   21.02n           245.1155740m    
   21.0301491n      245.2147958m    
   21.0418904n      245.3289147m    
   21.0534493n      245.4399639m    
   21.0765673n      245.6582658m    
   21.1228032n      246.0801104m    
   21.2152750n      246.8680167m    
   21.4002186n      248.2442466m    
   21.7701058n      250.3537692m    
   22.5098802n      252.8673254m    
   23.8180440n      254.5647358m    
   25.5071475n      254.9777405m    
   27.5071475n      255.0156273m    
   29.5071475n      255.0151807m    
   31.5071475n      255.0149880m    
   33.5071475n      255.0150105m    
   35.5071475n      255.0151508m    
   37.5071475n      255.0153378m    
   39.5071475n      255.0155279m    
   41n              255.0156580m    
   41.01n           254.9169055m    
   41.0201491n      254.8176837m    
   41.0318904n      254.7035646m    
   41.0434493n      254.5925153m    
   41.0665673n      254.3742132m    
   41.1128032n      253.9523678m    
   41.2052750n      253.1644601m    
   41.3902186n      251.7882273m    
   41.7601058n      249.6787042m    
   42.4998802n      247.1651749m    
   43.8080157n      245.4678888m    
   45.4970884n      245.0550277m    
   47.4970884n      245.0172613m    
   49.4970884n      245.0176720m    
   51.4970884n      245.0177135m    
   53.4970884n      245.0175508m    
   55.4970884n      245.0173256m    
   57.4970884n      245.0171066m    
   59.4970884n      245.0169193m    
   61.01n           245.0168023m    
   61.02n           245.1155548m    
   61.0301491n      245.2147766m    
   61.0418904n      245.3288955m    
   61.0534493n      245.4399448m    
   61.0765673n      245.6582467m    
   61.1228032n      246.0800916m    
   61.2152750n      246.8679982m    
   61.4002186n      248.2442287m    
   61.7701058n      250.3537524m    
   62.5098802n      252.8673105m    
   63.8180441n      254.5647243m    
   65.5071474n      254.9777324m    
   67.5071474n      255.0156219m    
   69.5071474n      255.0151770m    
   71.5071474n      255.0149852m    
   73.5071474n      255.0150084m    
   75.5071474n      255.0151493m    
   77.5071474n      255.0153367m    
   79.5071474n      255.0155271m    
   81n              255.0156573m    
   81.01n           254.9169049m    
   81.0201491n      254.8176831m    
   81.0318904n      254.7035640m    
   81.0434493n      254.5925146m    
   81.0665673n      254.3742126m    
   81.1128032n      253.9523672m    
   81.2052750n      253.1644595m    
   81.3902186n      251.7882267m    
   81.7601058n      249.6787037m    
   82.4998802n      247.1651745m    
   83.8080158n      245.4678883m    
   85.4970885n      245.0550274m    
   87.4970885n      245.0172611m    
   89.4970885n      245.0176718m    
   91.4970885n      245.0177134m    
   93.4970885n      245.0175508m    
   95.4970885n      245.0173256m    
   97.4970885n      245.0171066m    
   98.7485442n      245.0169850m    
  100n              245.0168782m    
